year,month,spx_tr_real,y10_bm_real
1947,2,-0.01693764933,-0.003216879858
1947,3,-0.02960471503,-0.01583139054
1947,4,-0.03482927792,-0.0003266208913
1947,5,-0.002605591492,0.004664525833
1947,6,0.0510410606,-0.0079829083
1947,7,0.03373118549,-0.004358007755
1947,8,-0.03198028921,-0.003425498743
1947,9,-0.02876679442,-0.02220768483
1947,10,0.02318351993,-0.01044147055
1947,11,-0.03038614031,-0.01377401505
1947,12,0.01034726817,-0.0272907645
1948,1,-0.04588040375,-0.009606044276
1948,2,-0.04190529391,0.004030204631
1948,3,0.0893270601,0.009948022645
1948,4,0.01757293264,-0.01078394044
1948,5,0.07411961204,0.001876217579
1948,6,0.002174943695,-0.01295257758
1948,7,-0.05954362672,-0.01024080461
1948,8,0.01128704784,-0.001205828337
1948,9,-0.02262560625,0.007396912024
1948,10,0.07468220303,0.0002840618936
1948,11,-0.09789272379,0.01256077736
1948,12,0.04073819285,0.009072432657
1949,1,0.008710993756,0.007926224708
1949,2,-0.03029957725,0.006813614446
1949,3,0.03573448885,0.005303552003
1949,4,-0.01567109886,0.00215991789
1949,5,-0.03140630077,0.002990066618
1949,6,0.002908541566,0.008437243411
1949,7,0.07921462816,0.01361500883
1949,8,0.01747230684,0.007871818802
1949,9,0.0266862814,-0.003273127007
1949,10,0.03917187135,0.004926707713
1949,11,0.005764488751,0.0002738991652
1949,12,0.05363860918,0.009871612933
1950,1,0.02747052717,-0.003205233702
1950,2,0.01138349377,-0.004442071118
1950,3,0.008448270512,-0.001459300664
1950,4,0.05045138905,-0.00327366092
1950,5,0.03955118302,-0.004288949726
1950,6,-0.05708191977,-0.008279329045
1950,7,0.006738677558,-0.006190528248
1950,8,0.03314356028,-0.003664469693
1950,9,0.05580188553,-0.0075970757
1950,10,0.003815281631,-0.01010852152
1950,11,0.001158164818,-0.004939586525
1950,12,0.03639756891,-0.0125343202
1951,1,0.05062925095,-0.00956243799
1951,2,-0.005326665177,-0.02093418416
1951,3,-0.01444828559,-0.01339185984
1951,4,0.05257443161,-0.008462916466
1951,5,-0.03737379896,-0.00863254561
1951,6,-0.0177159685,0.003534693738
1951,7,0.07557896221,0.01184884785
1951,8,0.05175440787,0.0138514199
1951,9,-0.006530925855,-0.01693002048
1951,10,-0.01362920054,-0.005578069399
1951,11,-0.0035898607,-0.007543952774
1951,12,0.03811617824,-0.0009011026344
1952,1,0.02160993982,0.0028491592
1952,2,-0.03016194571,-0.0008061799404
1952,3,0.05351271807,0.002842788176
1952,4,-0.04045940931,0.009067341169
1952,5,0.02746986377,0.005116768191
1952,6,0.04892171042,-0.003792458453
1952,7,0.01696207297,-0.008843809479
1952,8,-0.00998208137,-0.006161380638
1952,9,-0.01255961203,-0.005198911512
1952,10,0.001471121791,0.0122210091
1952,11,0.05155947356,0.002965519542
1952,12,0.03913437564,-0.0004109134545
1953,1,-0.0000722414057,-0.004845971547
1953,2,-0.01184580219,-0.002019778743
1953,3,-0.02074705132,-0.004461457362
1953,4,-0.02412649938,-0.006015449614
1953,5,0.001592801269,-0.01695059641
1953,6,-0.0141804588,-0.005260106181
1953,7,0.02968810247,0.01758789243
1953,8,-0.0553224296,-0.001531555951
1953,9,0.004647091225,0.007937557221
1953,10,0.0540822382,0.01857803348
1953,11,0.01741801053,0.004200636406
1953,12,0.006146106737,0.009362203864
1954,1,0.05345790642,0.009180391538
1954,2,0.005743781227,0.001082735035
1954,3,0.03684323463,0.01309135495
1954,4,0.05633435049,0.01162999236
1954,5,0.03455453564,-0.007653852732
1954,6,0.004620049581,0.0007291399297
1954,7,0.06426001455,0.01201317593
1954,8,-0.02953596956,-0.002948757853
1954,9,0.08887250499,0.001711144726
1954,10,-0.01217376268,0.0009813062054
1954,11,0.08230506121,-0.004570092331
1954,12,0.05488757578,-0.0001770596073
1955,1,0.02145311013,-0.006599007455
1955,2,0.005463584266,-0.003169652767
1955,3,-0.0001353509698,0.001586363822
1955,4,0.04096419696,-0.004722272911
1955,5,0.002876976587,0.00216915872
1955,6,0.08819350756,0.002807380682
1955,7,0.06228026435,-0.009924572246
1955,8,-0.003219798549,-0.00215834702
1955,9,0.009582768921,-0.002378694728
1955,10,-0.02634676901,0.01146065441
1955,11,0.07576862344,-0.000704961378
1955,12,0.002425005488,-0.003288056879
1956,1,-0.03166484135,0.003961208874
1956,2,0.03661597862,0.006425969225
1956,3,0.07143132586,-0.008926833032
1956,4,-0.0004721215174,-0.01755273186
1956,5,-0.06622034208,0.008310684955
1956,6,0.0379951652,0.004081840069
1956,7,0.04933334145,-0.01191951423
1956,8,-0.03585133783,-0.01665370099
1956,9,-0.0435060373,-0.002919313082
1956,10,0.002586213776,0.0003644288645
1956,11,-0.007866890197,-0.009855156605
1956,12,0.03390325957,-0.009841641352
1957,1,-0.04012479581,0.001541861895
1957,2,-0.03402438703,0.00819116236
1957,3,0.02077637323,-0.005178464216
1957,4,0.03761240813,-0.005466566978
1957,5,0.03750175734,-0.009508299966
1957,6,-0.002147340248,-0.01731423663
1957,7,0.01161380902,-0.01035276595
1957,8,-0.05610080123,0.00008212713415
1957,9,-0.0600048666,0.002684246131
1957,10,-0.0285434968,-0.0008592026599
1957,11,0.01647617303,0.02098059984
1957,12,-0.03991602825,0.04425328804
1958,1,0.04023366937,0.006740884334
1958,2,-0.0191444495,0.003823295427
1958,3,0.02836870257,0.002479972048
1958,4,0.03274715058,0.008452829184
1958,5,0.01827871097,-0.0009472882806
1958,6,0.03041753934,-0.0007107186081
1958,7,0.04701793477,-0.01589277288
1958,8,0.01316589711,-0.02694468338
1958,9,0.05249082374,-0.01412374118
1958,10,0.0282833152,-0.0001759295417
1958,11,0.02382465369,0.006759014402
1958,12,0.05407070104,-0.007461213676
1959,1,0.005084345946,0.001833368298
1959,2,0.002823097958,0.008582105318
1959,3,0.004240058568,0.001902714583
1959,4,0.04111345821,-0.007509165605
1959,5,0.01940610233,-0.01387047937
1959,6,-0.003440038166,-0.001237584458
1959,7,0.03604466076,-0.002588434032
1959,8,-0.01355880588,0.0002186209946
1959,9,-0.04539852039,-0.01859977052
1959,10,0.01047695598,0.01258716445
1959,11,0.01586403373,0.003774992405
1959,12,0.02814387239,-0.01104296759
1960,1,-0.0674955778,0.002863631479
1960,2,0.01070427478,0.02123150859
1960,3,-0.01101443771,0.02331748263
1960,4,-0.01892539338,-0.00328793515
1960,5,0.02879466233,-0.003088176778
1960,6,0.02105648624,0.01856176218
1960,7,-0.01993311457,0.02603808417
1960,8,0.02696066553,0.009370682954
1960,9,-0.0575431197,0.003166658322
1960,10,-0.004111722185,-0.008816413662
1960,11,0.04226148189,-0.00101232618
1960,12,0.04814663064,0.009604425558
1961,1,0.06486635423,0.002191420375
1961,2,0.02948805237,0.008096789551
1961,3,0.02808268786,0.006414177162
1961,4,0.007339859933,0.0008694499766
1961,5,0.02058381145,0.007856211601
1961,6,-0.02626765338,-0.01065537769
1961,7,0.03239941218,-0.00268754643
1961,8,0.02138688003,-0.007095669773
1961,9,-0.01859501247,0.006904492295
1961,10,0.03084248554,0.008203901529
1961,11,0.04179825672,0.001642444498
1961,12,0.004577233267,-0.007405853475
1962,1,-0.03646558528,-0.0008543720419
1962,2,0.01637415292,0.009212128907
1962,3,-0.005415037517,0.01275931451
